start log
Sun 05/24/2020 - 17:20:19
Файл dfs.txt успішно створено

Image Name                     PID Session Name        Session#    Mem Usage
SecurityHealthSystray.exe    10660 Console                    1        912 K
SecurityHealthService.exe    10696 Services                   0      6,908 K
egui.exe                     10936 Console                    1      9,616 K
PanGPA.exe                   10944 Console                    1     14,480 K
OneDrive.exe                 11060 Console                    1     18,852 K
Skype.exe                     6184 Console                    1     37,508 K
Skype.exe                     6000 Console                    1      1,780 K
Skype.exe                     2380 Console                    1     10,444 K
Skype.exe                     3548 Console                    1     17,192 K
Skype.exe                     3780 Console                    1     94,164 K
Teams.exe                    11744 Console                    1     88,932 K
OcsSystray.exe               11864 Console                    1      3,192 K
jusched.exe                  11912 Console                    1      1,264 K
sslvpn_client.exe            11952 Console                    1      1,432 K
vpnui.exe                    11960 Console                    1      4,404 K
Teams.exe                    11364 Console                    1     12,096 K
Skype.exe                     5628 Console                    1      3,772 K
ONENOTEM.EXE                  8264 Console                    1        912 K
Teams.exe                     9764 Console                    1      3,368 K
svchost.exe                  12296 Services                   0      7,564 K
Teams.exe                    12720 Console                    1    609,452 K
Teams.exe                     9468 Console                    1     45,888 K
Teams.exe                    12280 Console                    1     24,716 K
ApplicationFrameHost.exe     13756 Console                    1     12,976 K
WinStore.App.exe             13780 Console                    1        872 K
RuntimeBroker.exe            13940 Console                    1      8,168 K
RuntimeBroker.exe             1440 Console                    1     16,476 K
svchost.exe                  12380 Services                   0      8,244 K
svchost.exe                   9360 Console                    1      9,740 K
CcmExec.exe                     84 Services                   0     32,556 K
WmiPrvSE.exe                 10060 Services                   0      8,288 K
SgrmBroker.exe                4240 Services                   0      5,400 K
svchost.exe                   4140 Services                   0     14,408 K
svchost.exe                  11992 Services                   0      1,616 K
svchost.exe                  14064 Services                   0      4,276 K
WmiPrvSE.exe                  7904 Services                   0      3,472 K
WmiPrvSE.exe                  2124 Services                   0      8,612 K
SCNotification.exe            9348 Console                    1     11,132 K
Microsoft.Photos.exe         11540 Console                    1      5,636 K
